id,screen_name,name,description,verified,followers_count,statuses_count,url,created_at,mentions_ibm,blank_bio
227894810,verysoul,Marisol,"#IBMFinancing #THINK2019  Financing for IT & Marketing B2B. Opinions are my own.
Finance your #Cloud today with IBM. 
https://t.co/uy72NO3j04",False,878,7492,,Sat Dec 18 03:44:32 +0000 2010,1,0
56701010,rain015,Reiko kato,"Love cat, planning comunication & promotion, Love KAWAII, love WWE,",False,65,70,,Tue Jul 14 14:02:49 +0000 2009,0,0
118827007,vahidfk,Vahid Fereydouny,"Love Sports, Hiking, Movies, and traveling. Passionate about technology(VMware VSAN Product Management and Marketing). Twits are mine",False,289,881,,Mon Mar 01 21:32:28 +0000 2010,0,0
36087444,richardstump,Richard Stump,Director for Red Top Technology. All-around geek and nerd. All tweets reflect my personal opinions. Retweets are not endorsements.,False,162,689,https://t.co/oPj3C2r6PH,Tue Apr 28 15:06:20 +0000 2009,0,0
258822308,EntelligenceLLC,Entelligence,"We recruit IT experts in the areas of storage, back-up & recovery and virtualization to work on the toughest problems in the world’s largest companies.",False,246,2162,http://t.co/0ajIZ9fQ1m,Mon Feb 28 15:41:18 +0000 2011,0,0
27593766,IBM_CTS,Cloud Tech Support,IBM Cloud Technical Support Twitter account. Managed by Michael Almasy. We follow IBM Social Computing Guidelines @IBM_CTS.,True,7637,22208,http://t.co/8MHD47OsW9,Mon Mar 30 05:56:27 +0000 2009,1,0
16132610,goenka,MaheshGoenka,,False,62,942,,Thu Sep 04 18:06:13 +0000 2008,0,1
264629800,DKAMSI,DKAMSI,"Resellers for Nexsan, Disaster Recovery, Data Storage Security & Protection, Power Management, Raid Systems & Hard disks, Controllers-Switches, DVD duplicators",False,446,746,http://t.co/4bECZQHrkh,Sat Mar 12 06:07:18 +0000 2011,0,0
213573246,spctechinfo,SPC ICT Section,"Tech related news, info and other interesting things from the SPC ICT TechOps and Infrastructure teams.",False,4,5,http://t.co/JTmUS33AKi,Tue Nov 09 07:51:16 +0000 2010,0,0
257683790,crussell044,Chris Russell,IT Storage Guy and Football Fan,False,8,2,https://t.co/ndayfUcwZH,Fri Feb 25 23:34:32 +0000 2011,0,0
263364182,infinistreams_,Max,Hourly news updates on popular topics,False,13,37994,http://t.co/6JgBPE6Nvv,Wed Mar 09 22:22:39 +0000 2011,0,0
263220095,GenXTechSol,GenXTech Solutions,"GenX Tech Solutions specializes in enterprise-wide technical and software support services. We identify ways to boost productivity, service and profits.",False,100,271,,Wed Mar 09 16:43:08 +0000 2011,0,0
26920230,CERinNC,Charles Richards,,False,193,145,,Fri Mar 27 01:56:52 +0000 2009,0,1
264220018,ericsonnywilson,PNS,"We offer Virtual hosting, hosted Exchange & spam filtering services in Halifax and surrounding areas. Remote support services also available.",False,182,5918,https://t.co/aVU4WyChTh,Fri Mar 11 15:00:08 +0000 2011,0,0
223683985,hpc_jay,Jay Lee,"Technical consultant for Exa-scale computing

HPC, cloud, openstack, lustre, gluster, infiniband, OFED, storage, wrf, and many CAE ISV apps ...",False,59,6,,Tue Dec 07 01:52:22 +0000 2010,0,0
21875074,abunaa,Abuna Andibo,,False,78,18,,Wed Feb 25 15:18:54 +0000 2009,0,1
68442647,emonterom,Erick Montero Agente Inmobiliario,Agente inmobiliario,False,356,113,,Mon Aug 24 16:18:02 +0000 2009,0,0
47334501,mickehoe,Mick Kehoe,,False,1060,2193,,Mon Jun 15 13:31:45 +0000 2009,0,1
218546969,smarterquestion,Smarter Questions,This account is no longer active.,False,784,311,,Mon Nov 22 16:48:28 +0000 2010,0,0
15843164,BruceLechleiter,BruceLechleiter,Too blessed to be stressed,False,250,476,,Wed Aug 13 22:12:00 +0000 2008,0,0
19338906,Iamharleyc,Harley Cunningham,,False,856,2761,,Thu Jan 22 13:57:16 +0000 2009,0,1
118723116,ThinkBluePR,Brandi Boatner,Smart storyteller. Digital PR. Proud @PRSA member. I embrace data. Social media advocate. Global influencer comms lead @ IBM. Opinions expressed are my own.,False,3644,2992,,Mon Mar 01 15:24:12 +0000 2010,1,0
249079167,diskbackup,Diskbackup,"Storage, Backup & Recovery management | Deduplicatie | Data Management | Social Media | Storage Solutions | Officieel partner van Anylinq en ExaGrid",False,249,50,http://t.co/Am31cjvD0w,Tue Feb 08 09:39:36 +0000 2011,0,0
175329666,THE_RizMan,Rizwan Haider,,False,28,24,,Fri Aug 06 08:56:14 +0000 2010,0,1
263566897,ibmlietuva,IBM Lietuva,"Latest news, announcements and career opportunities from IBM Lithuania.",False,76,15,http://t.co/m1GstWycTK,Thu Mar 10 08:46:19 +0000 2011,1,0
20629092,itechconference,iTech IT Conference,"IT Infrastructure, Security, Cloud, Storage, AI, and IoT, Conference Series. Making Stops in Toronto, Ottawa, Montreal, Calgary, Edmonton & Vancouver",False,1367,5397,http://t.co/0UTUXpKTir,Wed Feb 11 21:19:04 +0000 2009,0,0
16033029,rwwhitfield,Randall Whitfield,,False,29,10,,Thu Aug 28 21:24:47 +0000 2008,0,1
68100368,tockbeng,Tan Tock Beng,"Malaysian, Entrepreneur, IT Specialist, geek, gadget lover, social media, Apple fan.",False,0,60,,Sun Aug 23 07:51:09 +0000 2009,0,0
159460507,davepruyn,Dave Pruyn,Sales Executive | Husband & Father | Selling complete storage solutions to solve customer storage & data management problems for over 15 years.,False,353,645,http://t.co/k0NuZkupQ2,Fri Jun 25 12:43:01 +0000 2010,0,0
145091822,OsmerVivas,Osmer Vivas,Student + AIESECer,False,617,3494,,Tue May 18 03:11:38 +0000 2010,0,0
262456793,asrachelle,Allouche,,False,0,0,,Tue Mar 08 02:37:10 +0000 2011,0,1
70535194,jsmapes,Jack Mapes,,False,44,81,,Mon Aug 31 23:36:10 +0000 2009,0,1
126075124,MAINFRAMEinfo,George Drabik,Mainframe Architect.  Follow us for relevant mainframe posts.,False,32,57,http://t.co/xxPC50oo7E,Wed Mar 24 19:23:14 +0000 2010,0,0
11189402,elisagomes,Elisa Gomes,Bacharel em Sistemas de Informação e Gestão da Tecnologia da Informação. MBA Marketing Pós Graduação em Ensino à Distância. Formação Internet e Mídias Digitais.,False,260,4149,https://t.co/cdnQCbFspO,Sat Dec 15 06:15:02 +0000 2007,0,0
254632389,zaromepml,Faisalkpml,"Job Profile:Information Technology Interests: Technology,Education",False,51,296,,Sat Feb 19 17:39:52 +0000 2011,0,0
259915182,Blackhawk_Inc,Blackhawk Inc.,"Blackhawk is a leading supplier of Technology Products,Point-Of-Sale, Data Collection,Office/Printer Supplies,Facility Supplies,Desktop/Server Hardware.",False,66,86,http://t.co/0hG90Pf8iE,Wed Mar 02 21:18:10 +0000 2011,0,0
262293851,loginethr,LogiNet d.o.o.,"LogiNet informacijski i informatički inženjering osnovan je 1996. godine i predstavlja tim mladih, kreativnih ljudi.",False,44,479,http://t.co/wpBCvBSOgg,Mon Mar 07 19:33:35 +0000 2011,0,0
230499168,VaderDarthLord,Darth Vader,,False,11,94,,Sat Dec 25 19:27:36 +0000 2010,0,1
231536787,ccchv,Carlos Chen,,False,1,2,,Tue Dec 28 20:13:24 +0000 2010,0,1
253045319,taralfoster,Tara Foster,Tech Marketer. All views are my own!,False,289,487,,Wed Feb 16 12:58:02 +0000 2011,0,0
24768336,jtspears77,Jennifer Spears,"Empower-er of employee evangelists, forever optimist, marathoner whose thoughts are her own.",False,902,4523,,Mon Mar 16 20:59:00 +0000 2009,0,0
189543776,rolfbaur,ICT-News Online,"Ict-News ist die aktuelle Plattform der ICT-Branche
http://t.co/W0LeRMd2QM",False,120,322,http://t.co/W0LeRMd2QM,Sat Sep 11 15:16:46 +0000 2010,0,0
262019796,sathya_ibm,sathya krishnamurthy,Dubito Ergo Cogito Ergo Sum,False,0,0,,Mon Mar 07 05:07:07 +0000 2011,0,0
261996426,Natalia_Velas,Natalia Andrea,,False,0,0,,Mon Mar 07 03:49:37 +0000 2011,0,1
106825018,rajeshcoutinho,Rajesh Coutinho,,False,15,9,,Wed Jan 20 20:27:17 +0000 2010,0,1
42856936,davidmreimers,David Reimers,"Dad of two, IT consultant, music lover, car fanatic, wine and coffee snob. Opinions my own, RNNE etc",False,717,42860,,Wed May 27 10:45:16 +0000 2009,0,0
261656110,WillBoddy,Will Boddy,IT Infrastructure Consultant based in the North East of England.,False,30,30,,Sun Mar 06 12:01:58 +0000 2011,0,0
201414520,TheUnitTweets,The Unit bv,,False,60,232,http://t.co/pmUNMzpGGA,Mon Oct 11 20:10:02 +0000 2010,0,1
261538859,mapsysinc,"MAPSYS, Inc.",,False,6,0,,Sun Mar 06 04:41:09 +0000 2011,0,1
261444697,isamiranda9,Isa Miranda,,False,3,0,,Sat Mar 05 23:59:24 +0000 2011,0,1
19019774,eliasFernando,Elias Fernando,TIC - Tecnologia da Informação e Comunicação,False,269,143,,Thu Jan 15 12:26:23 +0000 2009,0,0
213724370,amol_adrekar,Amol Adrekar,"IT professional, tweet follower, Thoughtful, fun loving.",False,17,55,,Tue Nov 09 16:53:38 +0000 2010,0,0
18018839,nsirota,Nathan Sirota,"@FujitsuAmerica's Client Exec, Bostonian in SLC, skier, MTN biker, @RichmondRugby. Thoughts are my own. Connect w/ me on LinkedIn at",False,977,1447,https://t.co/Kb7aiPj0eN,Wed Dec 10 13:32:34 +0000 2008,0,0
186883259,sweeneyshane,Shane Sweeney,,False,102,178,,Sat Sep 04 17:24:39 +0000 2010,0,1
261050227,Breezeit_Labs,Breeze Labs,"Twitter do laboratório teconógico da empresa BreezeIT Tecnologia da informação LTDA.
Neste espaço divulgamos testes realizados em nosso laboratório de T.I.",False,25,109,http://t.co/7GDT410R7J,Sat Mar 05 04:02:50 +0000 2011,0,0
260916907,nick_laurence,Nick Laurence,"Senior Director Marketing Hitachi Vantara. Dad, hubby & Arsenal fan. Loves, food, wine, digital marketing, tech, skiing & seeing the world. (Opinions my own)",False,516,464,,Fri Mar 04 21:47:50 +0000 2011,0,0
