id,screen_name,name,description,verified,followers_count,statuses_count,url,created_at,mentions_ibm,blank_bio
838651877071847424,Shreejapuri,Shreeja Puri,,False,30,271,,Mon Mar 06 07:26:03 +0000 2017,0,1
3015279460,ich_at_pac,Iulian Chesaru,,False,457,815,https://t.co/9tol4gBgDq,Tue Feb 03 20:20:31 +0000 2015,0,1
280478446,ulsannuri,울산광역시(울산누리),울산광역시 공식 트위터 '울산누리' 입니다. 활력넘치는 울산이야기가 가득한 시민과의 소통공간을 열어가려합니다. 세상을 향한 열린귀가 되겠습니다.,False,8257,8826,http://t.co/QQFAsNoPpQ,Mon Apr 11 12:04:46 +0000 2011,0,0
58402467,HereToXplore,DareToXplore,Dare to Xplore,False,183,2980,,Mon Jul 20 05:46:52 +0000 2009,0,0
230644018,AashN8,Aash Yadav,"Mission_Enlightment to Enterprising   Business Researcher & Columnist  https://t.co/UnYTDhuIMh

https://t.co/KBjvp4lhLv",False,221,12,,Sun Dec 26 06:22:24 +0000 2010,0,0
845482907636584448,TPMarketingGuru,MarketingGuru,Marketing dynamic products that you want to have!,False,53,21,,Sat Mar 25 03:50:08 +0000 2017,0,0
23689125,fbulaon,Francis Bulaon,,False,207,273,,Wed Mar 11 00:20:50 +0000 2009,0,1
1375203854,jvrplmrs,Javier Palomares,"Emprendedor, padel, @Getafecf 
#CasoKoteCabezudo 
#JusticiaPoética
Proud #IBMer I❤️#IBM
Getafe, Madrid y Jaén por nacimiento y sangre.
No discuto con avatares.",False,227,1117,,Tue Apr 23 18:30:03 +0000 2013,1,0
68092938,salvoplatania,Salvatore Platania,Tutto passa con il tempo solo l'Amore rimane.,False,111,1009,,Sun Aug 23 06:50:40 +0000 2009,0,0
1495849608,Fellowaj,Andrew Fellows,All views are my own & retweet doesn't mean endorsement.,False,12,6,,Sun Jun 09 15:24:58 +0000 2013,0,0
1148494232,AisRavichandran,aishwarya,Live life to the fullest!!,False,83,244,,Mon Feb 04 16:44:14 +0000 2013,0,0
756905884320751616,Cesarnotnotnot,César Dooku Reveals,Spansih Card: 48344400-X.This blog is conected with financial markets.,False,32,0,,Sat Jul 23 17:36:40 +0000 2016,0,0
844227028635144192,Tom54igon,Tom Newman,https://t.co/joLLKASbFQ,False,27,2,https://t.co/joLLKASbFQ,Tue Mar 21 16:39:43 +0000 2017,0,0
786852698947739648,AndyChilli,Andy Weir,,False,30,5,,Fri Oct 14 08:54:37 +0000 2016,0,1
731093282,Roman_Bangash,su -,TechnoFreak !,False,70,2734,,Wed Aug 01 17:23:20 +0000 2012,0,0
4355775375,medpro2991,medpro1992,,False,4,0,,Thu Dec 03 00:24:24 +0000 2015,0,1
2479306074,dhavalbhatt1993,dhaval,,False,26,21,,Tue May 06 05:35:48 +0000 2014,0,1
722636394498105345,BelleHolmes143,Belle.Holmes,,False,17,21,,Wed Apr 20 04:01:57 +0000 2016,0,1
844136528146132992,MedalsforPeace,Global Peace Designer,"We need to work together for Unity, Love, Respect, Humanity, Global Peace & Harmony, Science, Invention, Research Work. I need Scholarship funds for Education",False,1555,5153,,Tue Mar 21 10:40:06 +0000 2017,0,0
239716187,AttilaChin,Yihong Chin,"Enthusiastic in AI, Robotics, Fintech, Bioinformatics, GIS, Data Science, Cybersecurity and whatever technology that transforms the world.",False,335,1220,,Tue Jan 18 07:47:46 +0000 2011,0,0
373096288,PratapRishi,Rishi Yadav,,False,22,0,,Wed Sep 14 00:12:24 +0000 2011,0,1
718777881128599552,DeeMariaB,Dawn Maria,"#Socials | Employer Branding @IBM | Love2Travel, All Ears2Listen, Foodie all the way | Here2Influence | A #KingstonUniversity graduate, proud2Be | Views my own",False,582,248,https://t.co/n4fvOGHmTf,Sat Apr 09 12:29:35 +0000 2016,1,0
